clf,dataset_name,dataset_type,auc,obj_ratio
RISF,6_cardio,numerical,0.9598,1.0
RISF,6_cardio,numerical,0.9248,1.0
RISF,6_cardio,numerical,0.9196,1.0
RISF,26_optdigits,numerical,0.4673,0.1
RISF,26_optdigits,numerical,0.4495,0.1
RISF,26_optdigits,numerical,0.3988,0.1
RISF,26_optdigits,numerical,0.409,0.25
RISF,26_optdigits,numerical,0.3922,0.25
RISF,26_optdigits,numerical,0.4124,0.25
RISF,26_optdigits,numerical,0.3926,0.5
RISF,26_optdigits,numerical,0.3581,0.5
RISF,26_optdigits,numerical,0.5989,0.5
RISF,26_optdigits,numerical,0.6082,0.75
RISF,26_optdigits,numerical,0.5196,0.75
RISF,26_optdigits,numerical,0.589,0.75
RISF,26_optdigits,numerical,0.4183,1.0
RISF,26_optdigits,numerical,0.4707,1.0
RISF,26_optdigits,numerical,0.3926,1.0
RISF,ad_nominal,categorical,0.593,0.1
RISF,ad_nominal,categorical,0.6664,0.1
RISF,ad_nominal,categorical,0.6346,0.1
RISF,ad_nominal,categorical,0.6591,0.25
RISF,ad_nominal,categorical,0.6661,0.25
RISF,ad_nominal,categorical,0.6329,0.25
RISF,ad_nominal,categorical,0.6529,0.5
RISF,ad_nominal,categorical,0.6564,0.5
RISF,ad_nominal,categorical,0.6202,0.5
RISF,ad_nominal,categorical,0.6512,0.75
RISF,ad_nominal,categorical,0.6615,0.75
RISF,ad_nominal,categorical,0.6775,0.75
RISF,ad_nominal,categorical,0.6311,1.0
RISF,ad_nominal,categorical,0.6696,1.0
RISF,ad_nominal,categorical,0.6359,1.0
RISF,TwoLeadECG,timeseries,0.7029,0.1
RISF,TwoLeadECG,timeseries,0.8832,0.1
RISF,TwoLeadECG,timeseries,0.5943,0.1
RISF,TwoLeadECG,timeseries,0.7346,0.25
RISF,TwoLeadECG,timeseries,0.9016,0.25
RISF,TwoLeadECG,timeseries,0.6267,0.25
RISF,TwoLeadECG,timeseries,0.7505,0.5
RISF,TwoLeadECG,timeseries,0.8914,0.5
RISF,TwoLeadECG,timeseries,0.6546,0.5
RISF,TwoLeadECG,timeseries,0.7695,0.75
RISF,TwoLeadECG,timeseries,0.9289,0.75
RISF,TwoLeadECG,timeseries,0.6229,0.75
RISF,TwoLeadECG,timeseries,0.7987,1.0
RISF,TwoLeadECG,timeseries,0.9194,1.0
RISF,TwoLeadECG,timeseries,0.6311,1.0
RISF,agnews_1,nlp,0.4394,0.1
RISF,agnews_1,nlp,0.4221,0.1
RISF,agnews_1,nlp,0.4455,0.1
RISF,agnews_1,nlp,0.3965,0.25
RISF,agnews_1,nlp,0.4909,0.25
RISF,agnews_1,nlp,0.4435,0.25
RISF,agnews_1,nlp,0.3895,0.5
RISF,agnews_1,nlp,0.4479,0.5
RISF,agnews_1,nlp,0.4341,0.5
RISF,agnews_1,nlp,0.3907,0.75
RISF,agnews_1,nlp,0.4499,0.75
RISF,agnews_1,nlp,0.4186,0.75
RISF,agnews_1,nlp,0.4132,1.0
RISF,agnews_1,nlp,0.4339,1.0
RISF,agnews_1,nlp,0.4104,1.0
